GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43
0500000US36001,36001,"Albany County, New York",307891,*****,148964,43,158927,43,5.0,0.1,5.3,0.1,4.8,0.1,5.1,0.2,5.3,0.3,4.8,0.3,5.4,0.2,5.7,0.3,5.1,0.3,7.8,0.1,7.9,0.1,7.6,0.1,10.5,0.1,10.8,0.1,10.2,0.1,6.5,0.1,6.8,0.1,6.3,0.1,6.4,0.1,6.6,0.1,6.3,0.1,5.7,0.2,5.8,0.3,5.5,0.3,5.7,0.2,5.7,0.3,5.6,0.3,6.5,0.1,6.6,0.1,6.4,0.1,7.1,0.1,7.1,0.1,7.1,0.1,7.0,0.2,7.0,0.3,6.9,0.2,6.2,0.2,6.1,0.3,6.3,0.2,4.8,0.2,4.7,0.2,4.9,0.2,3.4,0.2,3.1,0.2,3.7,0.2,2.3,0.1,2.1,0.2,2.5,0.2,2.1,0.1,1.7,0.1,2.6,0.2,2.5,0.1,1.6,0.2,3.3,0.2,10.4,0.1,11.0,0.1,9.9,0.1,3.6,0.1,3.7,0.1,3.4,0.1,14.7,0.1,15.0,0.1,14.4,0.1,42.6,0.1,43.6,0.1,41.6,0.1,83.3,0.1,82.5,0.2,84.2,0.2,81.0,0.1,80.0,0.1,81.9,0.1,21.4,0.2,19.4,0.3,23.4,0.2,18.9,0.2,16.7,0.3,20.9,0.2,15.2,0.1,13.2,0.1,17.1,0.1,7.0,0.1,5.4,0.1,8.4,0.1,37.8,0.2,36.3,0.2,39.4,0.3,93.7,0.1,(X),(X),(X),(X),52.0,0.1,(X),(X),(X),(X),23.1,0.1,(X),(X),(X),(X),28.9,0.1,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),2.3,(X),(X),(X),(X),(X)
0500000US36003,36003,"Allegany County, New York",47700,*****,24124,89,23576,89,5.1,0.1,5.3,0.1,5.0,0.1,6.0,0.3,5.6,0.5,6.4,0.5,5.5,0.3,6.1,0.5,5.0,0.4,10.0,0.2,10.5,0.4,9.4,0.3,9.6,0.2,10.1,0.3,9.0,0.3,5.2,0.1,5.5,0.2,4.9,0.1,5.0,0.1,4.9,0.1,5.1,0.1,5.3,0.3,5.1,0.4,5.4,0.5,4.8,0.3,4.9,0.4,4.7,0.5,5.9,0.1,5.7,0.2,6.0,0.2,6.9,0.1,6.8,0.1,7.0,0.1,7.4,0.3,7.0,0.5,7.8,0.4,6.6,0.3,6.9,0.5,6.3,0.4,5.7,0.3,5.7,0.3,5.6,0.4,3.8,0.3,3.6,0.3,4.0,0.4,3.0,0.3,2.8,0.3,3.3,0.4,2.0,0.2,1.7,0.3,2.3,0.3,2.4,0.2,1.9,0.3,2.8,0.3,11.5,0.2,11.6,0.2,11.3,0.3,3.8,0.1,4.0,0.2,3.7,0.1,15.7,0.3,16.7,0.5,14.7,0.4,39.8,0.3,41.1,0.4,38.6,0.3,82.2,0.2,81.9,0.3,82.5,0.3,79.5,0.2,79.1,0.3,79.9,0.3,23.4,0.3,22.5,0.6,24.2,0.4,20.5,0.3,19.5,0.5,21.6,0.4,16.8,0.1,15.6,0.1,18.0,0.1,7.4,0.1,6.3,0.1,8.4,0.1,38.5,0.4,37.1,0.5,39.8,0.6,102.3,0.8,(X),(X),(X),(X),59.4,0.5,(X),(X),(X),(X),26.8,0.2,(X),(X),(X),(X),32.6,0.4,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.0,(X),(X),(X),(X),(X)
0500000US36005,36005,"Bronx County, New York",1436785,*****,676440,215,760345,215,7.5,0.1,8.1,0.1,6.9,0.1,7.0,0.1,7.7,0.2,6.4,0.1,6.8,0.1,7.3,0.1,6.4,0.1,7.2,0.1,7.8,0.1,6.6,0.1,8.5,0.1,9.0,0.1,8.0,0.1,8.1,0.1,8.4,0.1,7.9,0.1,7.3,0.1,7.3,0.1,7.3,0.1,6.6,0.1,6.3,0.2,6.9,0.1,6.2,0.1,6.2,0.2,6.2,0.1,6.7,0.1,6.5,0.1,6.8,0.1,6.5,0.1,6.3,0.1,6.7,0.1,5.6,0.1,5.3,0.1,5.9,0.2,4.7,0.1,4.5,0.1,4.9,0.2,3.6,0.1,3.2,0.1,3.9,0.1,2.8,0.1,2.4,0.1,3.1,0.1,2.0,0.1,1.7,0.1,2.3,0.1,1.4,0.1,1.1,0.1,1.7,0.1,1.5,0.1,0.9,0.1,2.0,0.1,13.9,0.1,15.0,0.1,12.8,0.1,4.2,0.1,4.6,0.1,3.9,0.1,11.4,0.1,12.3,0.1,10.7,0.1,43.8,0.1,45.0,0.1,42.8,0.1,77.2,0.1,75.3,0.1,78.9,0.1,74.4,0.1,72.3,0.1,76.3,0.1,16.0,0.1,13.8,0.1,18.0,0.2,13.9,0.1,11.8,0.1,15.8,0.1,11.3,0.1,9.2,0.1,13.1,0.1,4.9,0.1,3.7,0.1,6.1,0.1,33.3,0.2,31.0,0.1,35.3,0.1,89.0,0.1,(X),(X),(X),(X),58.3,0.1,(X),(X),(X),(X),17.8,0.1,(X),(X),(X),(X),40.5,0.1,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.5,(X),(X),(X),(X),(X)
0500000US36007,36007,"Broome County, New York",197381,*****,96991,37,100390,37,5.2,0.1,5.4,0.1,4.9,0.1,5.4,0.2,5.6,0.3,5.3,0.3,5.5,0.2,5.9,0.3,5.0,0.3,7.9,0.1,8.2,0.1,7.7,0.1,9.9,0.1,10.3,0.1,9.4,0.1,5.7,0.1,6.0,0.1,5.4,0.1,5.5,0.1,5.7,0.1,5.3,0.1,5.2,0.3,5.4,0.3,5.0,0.3,5.0,0.3,4.8,0.3,5.2,0.3,6.2,0.1,6.2,0.1,6.2,0.1,7.3,0.1,7.3,0.1,7.3,0.1,7.3,0.2,7.5,0.3,7.1,0.3,6.4,0.2,6.3,0.3,6.5,0.3,5.0,0.2,4.7,0.3,5.3,0.2,4.0,0.2,3.9,0.3,4.1,0.2,3.4,0.2,3.3,0.2,3.6,0.3,2.2,0.2,1.8,0.2,2.7,0.2,2.9,0.2,1.6,0.2,4.1,0.3,10.9,0.1,11.5,0.1,10.3,0.1,3.6,0.1,3.8,0.1,3.5,0.1,14.2,0.1,14.8,0.1,13.6,0.1,39.2,0.1,40.5,0.1,37.9,0.1,82.9,0.1,81.8,0.2,83.9,0.1,80.3,*****,79.3,0.1,81.3,0.1,24.0,0.2,21.5,0.3,26.3,0.3,21.4,0.2,18.9,0.3,23.9,0.3,17.6,0.1,15.3,0.1,19.8,0.1,8.6,0.1,6.7,0.1,10.4,0.1,39.8,0.3,37.5,0.3,41.9,0.3,96.6,0.1,(X),(X),(X),(X),59.4,0.1,(X),(X),(X),(X),28.0,0.1,(X),(X),(X),(X),31.4,0.1,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.1,(X),(X),(X),(X),(X)
0500000US36009,36009,"Cattaraugus County, New York",78506,*****,38795,75,39711,75,5.9,0.1,6.0,0.1,5.8,0.1,6.2,0.3,6.5,0.4,5.8,0.4,6.7,0.3,6.8,0.4,6.6,0.4,7.0,0.1,7.2,0.1,6.8,0.2,6.5,0.1,6.8,0.1,6.3,0.1,5.5,0.1,5.5,0.1,5.4,0.1,5.5,0.1,5.6,0.2,5.3,0.1,4.9,0.3,4.8,0.4,5.1,0.4,6.1,0.3,6.1,0.4,6.1,0.4,6.4,0.1,6.4,0.1,6.4,0.2,7.6,0.1,7.7,0.1,7.5,0.1,7.6,0.3,7.6,0.4,7.6,0.5,7.2,0.3,7.3,0.4,7.1,0.5,5.2,0.3,5.3,0.3,5.1,0.4,4.4,0.3,4.3,0.3,4.5,0.4,2.9,0.2,2.8,0.3,2.9,0.3,2.3,0.2,1.9,0.2,2.6,0.3,2.3,0.2,1.5,0.3,3.1,0.3,12.8,0.1,13.3,0.1,12.4,0.1,4.1,0.1,4.3,0.1,3.9,0.1,9.4,0.1,9.7,0.1,9.1,0.1,35.5,0.1,36.0,0.2,34.9,0.2,79.9,0.1,79.3,0.2,80.4,0.2,77.2,*****,76.5,0.1,78.0,0.1,24.2,0.3,23.0,0.4,25.5,0.5,21.2,0.3,19.8,0.3,22.5,0.4,17.1,0.1,15.7,0.1,18.4,0.1,7.5,0.1,6.2,0.1,8.7,0.1,41.5,0.3,40.6,0.3,42.4,0.3,97.7,0.4,(X),(X),(X),(X),66.2,0.2,(X),(X),(X),(X),28.4,0.1,(X),(X),(X),(X),37.9,0.1,(X),(X),(X),(X),0.0,(X),(X),(X),(X),(X),1.0,(X),(X),(X),(X),(X)
0500000US36011,36011,"Cayuga County, New York",78783,*****,40388,90,38395,90,5.1,0.1,5.1,0.2,5.2,0.2,5.3,0.4,5.3,0.5,5.2,0.5,6.1,0.4,6.1,0.5,6.1,0.5,6.4,0.1,6.6,0.3,6.3,0.2,6.7,0.2,7.2,0.4,6.2,0.1,5.9,0.2,6.3,0.3,5.4,0.2,6.0,0.2,6.3,0.3,5.7,0.2,5.4,0.4,5.6,0.4,5.3,0.5,6.4,0.4,6.8,0.5,5.9,0.6,7.1,0.1,7.3,0.2,6.9,0.1,8.0,0.1,8.0,0.2,7.9,0.1,7.7,0.3,7.7,0.5,7.8,0.4,6.9,0.3,6.8,0.5,7.0,0.4,5.6,0.3,5.6,0.3,5.6,0.3,3.8,0.3,3.4,0.3,4.2,0.4,2.8,0.3,2.5,0.3,3.1,0.4,2.2,0.2,1.9,0.2,2.5,0.4,2.5,0.3,1.5,0.2,3.6,0.5,11.4,0.1,11.5,0.1,11.3,0.1,4.0,0.1,4.1,0.1,3.9,0.1,9.2,0.2,9.7,0.3,8.6,0.2,36.9,0.2,38.7,0.3,34.9,0.2,82.3,0.1,82.5,0.3,82.2,0.3,79.5,*****,79.4,0.2,79.6,0.2,23.8,0.3,21.7,0.5,25.9,0.4,20.9,0.3,18.7,0.4,23.3,0.4,16.9,0.1,14.9,0.2,19.0,0.2,7.5,0.1,5.9,0.1,9.2,0.2,42.4,0.3,41.0,0.4,43.9,0.3,105.2,0.5,(X),(X),(X),(X),59.6,0.3,(X),(X),(X),(X),26.9,0.3,(X),(X),(X),(X),32.7,0.1,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.0,(X),(X),(X),(X),(X)
0500000US36013,36013,"Chautauqua County, New York",131748,*****,65093,99,66655,99,5.4,0.1,5.5,0.1,5.2,0.1,5.2,0.3,5.3,0.4,5.2,0.4,6.5,0.3,6.7,0.4,6.2,0.4,7.3,0.1,7.5,0.1,7.1,0.1,7.1,0.1,7.6,0.1,6.7,0.1,6.1,0.1,6.4,0.1,5.8,0.1,5.3,0.1,5.4,0.1,5.3,0.1,5.1,0.3,5.1,0.3,5.1,0.3,5.6,0.3,5.7,0.3,5.5,0.3,6.4,0.1,6.4,0.1,6.3,0.1,7.4,0.1,7.3,0.1,7.4,0.1,7.8,0.3,7.8,0.4,7.8,0.4,6.8,0.3,6.9,0.4,6.6,0.4,5.6,0.2,5.3,0.3,5.9,0.3,4.2,0.2,4.1,0.3,4.2,0.3,3.3,0.2,3.0,0.3,3.6,0.3,2.6,0.2,2.2,0.2,3.0,0.3,2.3,0.2,1.5,0.2,3.1,0.3,11.7,0.1,12.1,0.1,11.3,0.1,3.9,0.1,4.1,0.1,3.7,0.1,10.6,0.1,11.0,0.1,10.2,0.1,36.6,0.1,37.7,0.1,35.5,0.1,81.6,0.1,81.2,0.2,82.1,0.2,79.1,*****,78.3,0.1,79.8,0.1,24.8,0.3,23.1,0.4,26.5,0.4,22.0,0.3,20.2,0.3,23.7,0.3,18.0,0.1,16.2,0.1,19.9,0.1,8.2,0.1,6.7,0.1,9.7,0.1,42.0,0.2,40.4,0.4,43.4,0.3,97.7,0.3,(X),(X),(X),(X),63.8,0.1,(X),(X),(X),(X),29.6,0.1,(X),(X),(X),(X),34.3,0.1,(X),(X),(X),(X),0.0,(X),(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X)
0500000US36015,36015,"Chemung County, New York",87742,*****,43482,123,44260,123,5.9,0.1,6.0,0.1,5.8,0.2,5.9,0.4,5.8,0.6,6.0,0.5,6.5,0.4,6.8,0.6,6.2,0.5,6.4,0.2,6.6,0.3,6.2,0.2,6.6,0.2,6.7,0.3,6.4,0.2,5.9,0.2,6.4,0.3,5.4,0.2,5.9,0.2,6.0,0.2,5.8,0.3,5.8,0.5,6.0,0.6,5.5,0.6,6.3,0.5,6.5,0.6,6.0,0.5,6.5,0.2,6.8,0.3,6.1,0.2,7.6,0.2,7.6,0.2,7.7,0.3,7.4,0.4,7.3,0.5,7.4,0.5,6.7,0.4,6.7,0.5,6.7,0.5,5.2,0.2,4.8,0.4,5.6,0.3,3.9,0.3,3.7,0.4,4.0,0.4,2.8,0.3,2.4,0.3,3.1,0.4,2.2,0.2,1.8,0.3,2.6,0.4,2.7,0.3,2.0,0.3,3.4,0.4,12.3,0.1,12.5,0.1,12.1,0.1,3.7,0.1,3.9,0.1,3.5,0.1,9.3,0.2,9.4,0.3,9.2,0.2,36.8,0.2,38.3,0.4,35.4,0.4,80.5,0.2,80.0,0.4,81.0,0.3,78.1,0.1,77.5,0.2,78.6,0.2,23.5,0.4,21.5,0.5,25.5,0.6,20.9,0.4,18.8,0.5,23.0,0.5,16.8,0.1,14.8,0.1,18.7,0.1,7.7,0.1,6.3,0.1,9.1,0.1,41.0,0.4,39.8,0.4,42.3,0.3,98.2,0.6,(X),(X),(X),(X),63.1,0.3,(X),(X),(X),(X),27.4,0.2,(X),(X),(X),(X),35.7,0.2,(X),(X),(X),(X),0.0,(X),(X),(X),(X),(X),0.8,(X),(X),(X),(X),(X)
0500000US36017,36017,"Chenango County, New York",49286,*****,24601,66,24685,66,5.2,0.1,5.3,0.2,5.2,0.2,5.2,0.4,5.3,0.6,5.1,0.5,6.8,0.3,7.3,0.6,6.3,0.5,6.3,0.1,6.4,0.2,6.2,0.2,6.0,0.1,6.3,0.2,5.6,0.1,5.3,0.1,5.5,0.2,5.0,0.1,5.2,0.1,5.3,0.1,5.2,0.2,5.4,0.4,5.7,0.6,5.0,0.5,5.8,0.4,5.5,0.5,6.2,0.5,6.9,0.1,6.8,0.2,7.0,0.2,7.9,0.1,7.9,0.1,8.0,0.2,8.4,0.5,8.3,0.6,8.4,0.6,6.8,0.5,6.8,0.6,6.8,0.6,6.3,0.4,6.6,0.6,6.0,0.5,4.5,0.4,4.2,0.6,4.8,0.4,3.8,0.3,3.8,0.4,3.9,0.4,2.0,0.3,1.4,0.3,2.6,0.4,2.1,0.3,1.6,0.3,2.7,0.4,12.0,0.1,12.6,0.2,11.4,0.1,4.1,0.1,4.0,0.1,4.2,0.1,8.2,0.1,8.7,0.2,7.7,0.1,33.9,0.1,34.6,0.2,33.2,0.3,81.5,0.2,80.6,0.4,82.3,0.3,78.6,*****,78.0,0.2,79.3,0.2,25.6,0.5,24.5,0.6,26.7,0.6,22.5,0.4,21.3,0.5,23.7,0.5,18.8,0.1,17.7,0.1,20.0,0.2,8.0,0.1,6.9,0.1,9.1,0.1,44.1,0.2,42.9,0.5,45.1,0.3,99.7,0.5,(X),(X),(X),(X),67.2,0.3,(X),(X),(X),(X),31.5,0.2,(X),(X),(X),(X),35.7,0.1,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.1,(X),(X),(X),(X),(X)
0500000US36019,36019,"Clinton County, New York",81505,*****,41893,142,39612,142,4.8,0.1,4.8,0.1,4.7,0.1,5.1,0.4,5.2,0.6,4.9,0.6,5.1,0.4,5.1,0.6,5.1,0.6,7.6,0.2,7.2,0.2,8.1,0.3,9.6,0.2,9.6,0.3,9.7,0.3,6.2,0.1,7.2,0.3,5.2,0.2,6.1,0.1,6.7,0.3,5.5,0.1,6.3,0.5,6.7,0.7,5.8,0.6,5.5,0.5,5.9,0.7,5.1,0.6,7.2,0.2,7.3,0.3,7.0,0.2,7.8,0.1,7.7,0.2,7.9,0.1,7.1,0.4,7.1,0.5,7.2,0.5,6.4,0.4,6.3,0.5,6.6,0.5,5.0,0.3,4.6,0.4,5.3,0.4,3.6,0.3,3.4,0.4,3.8,0.4,2.7,0.3,2.5,0.3,2.9,0.4,1.9,0.3,1.5,0.3,2.4,0.3,1.9,0.2,1.2,0.3,2.7,0.4,10.2,0.1,10.3,0.1,10.0,0.2,3.3,0.1,3.2,0.1,3.4,0.1,14.0,0.2,13.5,0.3,14.4,0.2,41.4,0.2,43.2,0.4,39.4,0.3,84.0,0.2,83.8,0.3,84.1,0.3,81.7,*****,81.6,0.2,81.8,0.2,21.5,0.4,19.6,0.5,23.7,0.5,18.9,0.4,16.9,0.5,21.0,0.6,15.1,0.1,13.3,0.2,17.1,0.2,6.6,0.1,5.2,0.1,8.0,0.1,39.4,0.4,38.1,0.6,40.7,0.4,105.8,0.7,(X),(X),(X),(X),50.2,0.3,(X),(X),(X),(X),22.7,0.2,(X),(X),(X),(X),27.5,0.1,(X),(X),(X),(X),0.0,(X),(X),(X),(X),(X),0.8,(X),(X),(X),(X),(X)
