GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 5 years and over
HC01_MOE_VC01,Total; Margin of Error; Population 5 years and over
HC02_EST_VC01,Percent; Estimate; Population 5 years and over
HC02_MOE_VC01,Percent; Margin of Error; Population 5 years and over
HC03_EST_VC01,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; Population 5 years and over"
HC03_MOE_VC01,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; Population 5 years and over"
HC04_EST_VC01,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; Population 5 years and over"
HC04_MOE_VC01,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; Population 5 years and over"
HC05_EST_VC01,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Population 5 years and over"
HC05_MOE_VC01,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Population 5 years and over"
HC06_EST_VC01,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; Population 5 years and over"
HC06_MOE_VC01,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; Population 5 years and over"
HC01_EST_VC02,Total; Estimate; Speak only English
HC01_MOE_VC02,Total; Margin of Error; Speak only English
HC02_EST_VC02,Percent; Estimate; Speak only English
HC02_MOE_VC02,Percent; Margin of Error; Speak only English
HC03_EST_VC02,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; Speak only English"
HC03_MOE_VC02,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; Speak only English"
HC04_EST_VC02,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; Speak only English"
HC04_MOE_VC02,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; Speak only English"
HC05_EST_VC02,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Speak only English"
HC05_MOE_VC02,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Speak only English"
HC06_EST_VC02,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; Speak only English"
HC06_MOE_VC02,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; Speak only English"
HC01_EST_VC03,Total; Estimate; Speak a language other than English
HC01_MOE_VC03,Total; Margin of Error; Speak a language other than English
HC02_EST_VC03,Percent; Estimate; Speak a language other than English
HC02_MOE_VC03,Percent; Margin of Error; Speak a language other than English
HC03_EST_VC03,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; Speak a language other than English"
HC03_MOE_VC03,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; Speak a language other than English"
HC04_EST_VC03,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; Speak a language other than English"
HC04_MOE_VC03,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; Speak a language other than English"
HC05_EST_VC03,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; Speak a language other than English"
HC05_MOE_VC03,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; Speak a language other than English"
HC06_EST_VC03,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; Speak a language other than English"
HC06_MOE_VC03,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; Speak a language other than English"
HC01_EST_VC06,Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish
HC01_MOE_VC06,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish
HC02_EST_VC06,Percent; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish
HC02_MOE_VC06,Percent; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish
HC03_EST_VC06,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish"
HC03_MOE_VC06,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish"
HC04_EST_VC06,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish"
HC04_MOE_VC06,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish"
HC05_EST_VC06,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish"
HC05_MOE_VC06,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish"
HC06_EST_VC06,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish"
HC06_MOE_VC06,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish"
HC01_EST_VC07,Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 5 to 17 years old
HC01_MOE_VC07,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 5 to 17 years old
HC02_EST_VC07,Percent; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 5 to 17 years old
HC02_MOE_VC07,Percent; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 5 to 17 years old
HC03_EST_VC07,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 5 to 17 years old"
HC03_MOE_VC07,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 5 to 17 years old"
HC04_EST_VC07,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 5 to 17 years old"
HC04_MOE_VC07,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 5 to 17 years old"
HC05_EST_VC07,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 5 to 17 years old"
HC05_MOE_VC07,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 5 to 17 years old"
HC06_EST_VC07,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 5 to 17 years old"
HC06_MOE_VC07,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 5 to 17 years old"
HC01_EST_VC08,Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 18 to 64 years old
HC01_MOE_VC08,Total; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 18 to 64 years old
HC02_EST_VC08,Percent; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 18 to 64 years old
HC02_MOE_VC08,Percent; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 18 to 64 years old
HC03_EST_VC08,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 18 to 64 years old"
HC03_MOE_VC08,"Percent of specified language speakers  - Speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 18 to 64 years old"
HC04_EST_VC08,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 18 to 64 years old"
HC04_MOE_VC08,"Percent of specified language speakers  - Percent speak English only or speak English ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 18 to 64 years old"
HC05_EST_VC08,"Percent of specified language speakers  - Speak English  less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 18 to 64 years old"
HC05_MOE_VC08,"Percent of specified language speakers  - Speak English  less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 18 to 64 years old"
HC06_EST_VC08,"Percent of specified language speakers  - Percent speak English less than ""very well""; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 18 to 64 years old"
HC06_MOE_VC08,"Percent of specified language speakers  - Percent speak English less than ""very well""; Margin of Error; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 18 to 64 years old"
HC01_EST_VC09,Total; Estimate; SPEAK A LANGUAGE OTHER THAN ENGLISH - Spanish - 65 years old and over
