GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01,HC06_EST_VC01,HC06_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC05_EST_VC02,HC05_MOE_VC02,HC06_EST_VC02,HC06_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC05_EST_VC03,HC05_MOE_VC03,HC06_EST_VC03,HC06_MOE_VC03,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC05_EST_VC06,HC05_MOE_VC06,HC06_EST_VC06,HC06_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC05_EST_VC07,HC05_MOE_VC07,HC06_EST_VC07,HC06_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC05_EST_VC08,HC05_MOE_VC08,HC06_EST_VC08,HC06_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC05_EST_VC09,HC05_MOE_VC09,HC06_EST_VC09,HC06_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC05_EST_VC10,HC05_MOE_VC10,HC06_EST_VC10,HC06_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC05_EST_VC11,HC05_MOE_VC11,HC06_EST_VC11,HC06_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC05_EST_VC12,HC05_MOE_VC12,HC06_EST_VC12,HC06_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC05_EST_VC13,HC05_MOE_VC13,HC06_EST_VC13,HC06_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC04_EST_VC14,HC04_MOE_VC14,HC05_EST_VC14,HC05_MOE_VC14,HC06_EST_VC14,HC06_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC05_EST_VC15,HC05_MOE_VC15,HC06_EST_VC15,HC06_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC05_EST_VC16,HC05_MOE_VC16,HC06_EST_VC16,HC06_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC05_EST_VC17,HC05_MOE_VC17,HC06_EST_VC17,HC06_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC05_EST_VC18,HC05_MOE_VC18,HC06_EST_VC18,HC06_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC05_EST_VC19,HC05_MOE_VC19,HC06_EST_VC19,HC06_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC05_EST_VC20,HC05_MOE_VC20,HC06_EST_VC20,HC06_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC04_EST_VC21,HC04_MOE_VC21,HC05_EST_VC21,HC05_MOE_VC21,HC06_EST_VC21,HC06_MOE_VC21,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC04_EST_VC24,HC04_MOE_VC24,HC05_EST_VC24,HC05_MOE_VC24,HC06_EST_VC24,HC06_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC04_EST_VC25,HC04_MOE_VC25,HC05_EST_VC25,HC05_MOE_VC25,HC06_EST_VC25,HC06_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC04_EST_VC26,HC04_MOE_VC26,HC05_EST_VC26,HC05_MOE_VC26,HC06_EST_VC26,HC06_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC04_EST_VC27,HC04_MOE_VC27,HC05_EST_VC27,HC05_MOE_VC27,HC06_EST_VC27,HC06_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC04_EST_VC28,HC04_MOE_VC28,HC05_EST_VC28,HC05_MOE_VC28,HC06_EST_VC28,HC06_MOE_VC28
0500000US36001,36001,"Albany County, New York",292420,25,(X),(X),280514,868,95.9,0.3,11906,867,4.1,0.3,256624,1391,87.8,0.5,(X),(X),(X),(X),(X),(X),(X),(X),35796,1386,12.2,0.5,23890,1142,66.7,2.0,11906,867,33.3,2.0,9427,765,3.2,0.3,7206,731,76.4,4.2,2221,420,23.6,4.2,1679,366,0.6,0.1,1487,359,88.6,5.3,192,84,11.4,5.3,7039,604,2.4,0.2,5282,616,75.0,5.2,1757,381,25.0,5.2,709,116,0.2,0.1,437,109,61.6,10.4,272,82,38.4,10.4,14102,992,4.8,0.3,9848,766,69.8,3.3,4254,588,30.2,3.3,2139,405,0.7,0.1,1805,338,84.4,6.0,334,155,15.6,6.0,9484,671,3.2,0.2,6591,577,69.5,4.2,2893,470,30.5,4.2,2479,313,0.8,0.1,1452,246,58.6,6.2,1027,199,41.4,6.2,9561,716,3.3,0.2,4788,428,50.1,4.4,4773,656,49.9,4.4,1506,287,0.5,0.1,1094,222,72.6,7.6,412,148,27.4,7.6,7383,536,2.5,0.2,3449,349,46.7,4.8,3934,533,53.3,4.8,672,124,0.2,0.1,245,99,36.5,13.6,427,122,63.5,13.6,2706,464,0.9,0.2,2048,394,75.7,7.3,658,233,24.3,7.3,582,242,0.2,0.1,522,237,89.7,9.9,60,52,10.3,9.9,1860,337,0.6,0.1,1320,285,71.0,9.1,540,199,29.0,9.1,264,108,0.1,0.1,206,87,78.0,18.9,58,59,22.0,18.9,237991,711,(X),(X),232115,816,97.5,0.2,5876,488,2.5,0.2,217212,1152,91.3,0.4,(X),(X),(X),(X),(X),(X),(X),(X),20779,995,8.7,0.4,14903,885,71.7,2.1,5876,488,28.3,2.1,6665,634,2.8,0.3,5346,607,80.2,3.5,1319,236,19.8,3.5,14114,747,5.9,0.3,9557,633,67.7,2.7,4557,458,32.3,2.7
0500000US36003,36003,"Allegany County, New York",45248,40,(X),(X),44559,163,98.5,0.3,689,157,1.5,0.3,42891,335,94.8,0.7,(X),(X),(X),(X),(X),(X),(X),(X),2357,328,5.2,0.7,1668,263,70.8,5.3,689,157,29.2,5.3,571,113,1.3,0.2,517,120,90.5,5.6,54,27,9.5,5.6,44,35,0.1,0.1,36,33,81.8,27.9,8,11,18.2,27.9,460,83,1.0,0.2,414,85,90.0,5.9,46,25,10.0,5.9,67,56,0.1,0.1,67,56,100.0,34.3,0,24,0.0,34.3,1396,294,3.1,0.6,974,243,69.8,8.7,422,146,30.2,8.7,469,183,1.0,0.4,322,150,68.7,14.2,147,79,31.3,14.2,839,144,1.9,0.3,577,119,68.8,9.5,262,96,31.2,9.5,88,45,0.2,0.1,75,43,85.2,11.6,13,10,14.8,11.6,309,72,0.7,0.2,96,37,31.1,10.3,213,62,68.9,10.3,25,23,0.1,0.1,17,19,68.0,35.8,8,11,32.0,35.8,268,58,0.6,0.1,73,35,27.2,12.2,195,57,72.8,12.2,16,14,0.0,0.1,6,8,37.5,37.6,10,10,62.5,37.6,81,45,0.2,0.1,81,45,100.0,30.0,0,24,0.0,30.0,0,24,0.0,0.1,0,24,-,**,0,24,-,**,81,45,0.2,0.1,81,45,100.0,30.0,0,24,0.0,30.0,0,24,0.0,0.1,0,24,-,**,0,24,-,**,37362,141,(X),(X),36979,171,99.0,0.3,383,97,1.0,0.3,35835,222,95.9,0.5,(X),(X),(X),(X),(X),(X),(X),(X),1527,186,4.1,0.5,1144,159,74.9,5.5,383,97,25.1,5.5,507,107,1.4,0.3,468,116,92.3,5.6,39,23,7.7,5.6,1020,146,2.7,0.4,676,129,66.3,8.2,344,96,33.7,8.2
0500000US36005,36005,"Bronx County, New York",1329331,53,(X),(X),984051,4460,74.0,0.3,345280,4469,26.0,0.3,547109,5188,41.2,0.4,(X),(X),(X),(X),(X),(X),(X),(X),782222,5188,58.8,0.4,436942,5017,55.9,0.5,345280,4469,44.1,0.5,632745,3637,47.6,0.3,347375,3967,54.9,0.5,285370,3785,45.1,0.5,117311,1938,8.8,0.1,92162,1909,78.6,1.2,25149,1534,21.4,1.2,449870,2209,33.8,0.2,237808,3203,52.9,0.7,212062,3058,47.1,0.7,65564,576,4.9,0.1,17405,888,26.5,1.3,48159,1001,73.5,1.3,69688,2690,5.2,0.2,39868,1998,57.2,1.6,29820,1474,42.8,1.6,9614,723,0.7,0.1,8029,656,83.5,2.7,1585,286,16.5,2.7,48750,2119,3.7,0.2,27352,1577,56.1,1.9,21398,1243,43.9,1.9,11324,795,0.9,0.1,4487,516,39.6,3.3,6837,565,60.4,3.3,19953,1385,1.5,0.1,9242,809,46.3,2.6,10711,936,53.7,2.6,1935,451,0.1,0.1,1242,274,64.2,10.0,693,296,35.8,10.0,14735,940,1.1,0.1,7161,652,48.6,3.4,7574,717,51.4,3.4,3283,313,0.2,0.1,839,218,25.6,6.1,2444,301,74.4,6.1,59836,3227,4.5,0.2,40457,2508,67.6,1.7,19379,1394,32.4,1.7,13439,1283,1.0,0.1,11133,1194,82.8,3.2,2306,452,17.2,3.2,43334,2233,3.3,0.2,27792,1773,64.1,2.1,15542,1145,35.9,2.1,3063,445,0.2,0.1,1532,256,50.0,5.7,1531,308,50.0,5.7,830543,4262,(X),(X),671502,4810,80.9,0.3,159041,2760,19.1,0.3,390701,3766,47.0,0.4,(X),(X),(X),(X),(X),(X),(X),(X),439842,3816,53.0,0.4,280801,3789,63.8,0.6,159041,2760,36.2,0.6,365959,3347,44.1,0.3,233564,3626,63.8,0.7,132395,2406,36.2,0.7,73883,2390,8.9,0.3,47237,1956,63.9,1.3,26646,1199,36.1,1.3
0500000US36007,36007,"Broome County, New York",187152,55,(X),(X),181322,510,96.9,0.3,5830,512,3.1,0.3,168869,1118,90.2,0.6,(X),(X),(X),(X),(X),(X),(X),(X),18283,1124,9.8,0.6,12453,1007,68.1,2.6,5830,512,31.9,2.6,4398,454,2.3,0.2,3049,426,69.3,5.1,1349,240,30.7,5.1,898,234,0.5,0.1,617,208,68.7,11.1,281,108,31.3,11.1,3176,307,1.7,0.2,2269,307,71.4,5.9,907,201,28.6,5.9,324,58,0.2,0.1,163,60,50.3,14.3,161,49,49.7,14.3,8389,967,4.5,0.5,6105,727,72.8,3.7,2284,432,27.2,3.7,1364,386,0.7,0.2,1146,349,84.0,10.2,218,152,16.0,10.2,5254,737,2.8,0.4,3852,610,73.3,4.4,1402,287,26.7,4.4,1771,276,0.9,0.1,1107,198,62.5,7.9,664,191,37.5,7.9,4320,468,2.3,0.3,2503,359,57.9,5.1,1817,287,42.1,5.1,306,130,0.2,0.1,215,108,70.3,21.5,91,79,29.7,21.5,3682,411,2.0,0.2,2233,334,60.6,5.5,1449,252,39.4,5.5,332,95,0.2,0.1,55,46,16.6,14.0,277,101,83.4,14.0,1176,420,0.6,0.2,796,347,67.7,11.8,380,163,32.3,11.8,161,106,0.1,0.1,116,88,72.0,28.3,45,50,28.0,28.3,897,345,0.5,0.2,641,288,71.5,11.3,256,119,28.5,11.3,118,80,0.1,0.1,39,40,33.1,31.2,79,67,66.9,31.2,153427,452,(X),(X),150183,511,97.9,0.3,3244,425,2.1,0.3,141972,886,92.5,0.6,(X),(X),(X),(X),(X),(X),(X),(X),11455,943,7.5,0.6,8211,720,71.7,2.7,3244,425,28.3,2.7,3151,334,2.1,0.2,2337,331,74.2,5.6,814,183,25.8,5.6,8304,854,5.4,0.6,5874,597,70.7,2.8,2430,381,29.3,2.8
0500000US36009,36009,"Cattaraugus County, New York",73899,22,(X),(X),72346,239,97.9,0.3,1553,243,2.1,0.3,70099,376,94.9,0.5,(X),(X),(X),(X),(X),(X),(X),(X),3800,379,5.1,0.5,2247,275,59.1,4.7,1553,243,40.9,4.7,787,127,1.1,0.2,536,108,68.1,7.6,251,71,31.9,7.6,144,51,0.2,0.1,96,44,66.7,15.8,48,26,33.3,15.8,574,108,0.8,0.1,412,95,71.8,7.3,162,47,28.2,7.3,69,42,0.1,0.1,28,18,40.6,23.7,41,35,59.4,23.7,2139,358,2.9,0.5,1185,240,55.4,6.2,954,203,44.6,6.2,720,208,1.0,0.3,270,130,37.5,12.2,450,138,62.5,12.2,1168,181,1.6,0.2,795,145,68.1,7.5,373,108,31.9,7.5,251,76,0.3,0.1,120,41,47.8,16.0,131,68,52.2,16.0,361,112,0.5,0.2,123,57,34.1,12.6,238,89,65.9,12.6,70,31,0.1,0.1,47,32,67.1,39.0,23,29,32.9,39.0,265,100,0.4,0.1,76,51,28.7,15.6,189,81,71.3,15.6,26,16,0.0,0.1,0,27,0.0,55.9,26,16,100.0,55.9,513,119,0.7,0.2,403,106,78.6,7.2,110,42,21.4,7.2,168,66,0.2,0.1,148,63,88.1,8.1,20,14,11.9,8.1,273,69,0.4,0.1,221,57,81.0,8.4,52,28,19.0,8.4,72,36,0.1,0.1,34,28,47.2,26.9,38,25,52.8,26.9,59998,119,(X),(X),59228,187,98.7,0.2,770,121,1.3,0.2,57693,244,96.2,0.4,(X),(X),(X),(X),(X),(X),(X),(X),2305,215,3.8,0.4,1535,178,66.6,4.4,770,121,33.4,4.4,558,112,0.9,0.2,396,95,71.0,7.7,162,51,29.0,7.7,1747,197,2.9,0.3,1139,159,65.2,5.1,608,110,34.8,5.1
0500000US36011,36011,"Cayuga County, New York",74743,40,(X),(X),73712,198,98.6,0.3,1031,194,1.4,0.3,71142,545,95.2,0.7,(X),(X),(X),(X),(X),(X),(X),(X),3601,543,4.8,0.7,2570,448,71.4,4.4,1031,194,28.6,4.4,1768,256,2.4,0.3,1158,221,65.5,7.2,610,150,34.5,7.2,446,149,0.6,0.2,359,137,80.5,12.1,87,57,19.5,12.1,1226,163,1.6,0.2,734,152,59.9,8.7,492,120,40.1,8.7,96,50,0.1,0.1,65,39,67.7,19.1,31,25,32.3,19.1,986,214,1.3,0.3,852,188,86.4,5.9,134,67,13.6,5.9,99,46,0.1,0.1,77,45,77.8,15.8,22,13,22.2,15.8,430,111,0.6,0.1,384,108,89.3,6.1,46,25,10.7,6.1,457,160,0.6,0.2,391,131,85.6,10.7,66,59,14.4,10.7,263,94,0.4,0.1,119,58,45.2,12.0,144,56,54.8,12.0,60,41,0.1,0.1,54,40,90.0,16.0,6,9,10.0,16.0,169,62,0.2,0.1,51,27,30.2,14.4,118,54,69.8,14.4,34,32,0.0,0.1,14,18,41.2,50.1,20,27,58.8,50.1,584,419,0.8,0.6,441,332,75.5,9.8,143,104,24.5,9.8,175,163,0.2,0.2,175,163,100.0,15.7,0,27,0.0,15.7,387,272,0.5,0.4,262,185,67.7,13.6,125,106,32.3,13.6,22,21,0.0,0.1,4,5,18.2,21.4,18,18,81.8,21.4,61876,202,(X),(X),61246,244,99.0,0.2,630,148,1.0,0.2,59541,424,96.2,0.6,(X),(X),(X),(X),(X),(X),(X),(X),2335,384,3.8,0.6,1705,305,73.0,4.8,630,148,27.0,4.8,1045,150,1.7,0.2,681,144,65.2,8.6,364,100,34.8,8.6,1290,346,2.1,0.6,1024,264,79.4,6.1,266,118,20.6,6.1
0500000US36013,36013,"Chautauqua County, New York",124680,50,(X),(X),121028,319,97.1,0.3,3652,313,2.9,0.3,114955,585,92.2,0.5,(X),(X),(X),(X),(X),(X),(X),(X),9725,577,7.8,0.5,6073,488,62.4,2.8,3652,313,37.6,2.8,5957,386,4.8,0.3,3598,340,60.4,3.8,2359,259,39.6,3.8,1370,222,1.1,0.2,1037,214,75.7,10.1,333,150,24.3,10.1,4226,282,3.4,0.2,2412,242,57.1,4.4,1814,227,42.9,4.4,361,70,0.3,0.1,149,67,41.3,14.3,212,57,58.7,14.3,2903,374,2.3,0.3,1994,324,68.7,5.4,909,176,31.3,5.4,853,169,0.7,0.1,479,145,56.2,10.1,374,97,43.8,10.1,1637,234,1.3,0.2,1199,192,73.2,6.0,438,118,26.8,6.0,413,120,0.3,0.1,316,104,76.5,8.7,97,42,23.5,8.7,522,121,0.4,0.1,196,74,37.5,11.2,326,94,62.5,11.2,58,32,0.0,0.1,30,24,51.7,30.0,28,23,48.3,30.0,442,108,0.4,0.1,156,65,35.3,12.6,286,90,64.7,12.6,22,20,0.0,0.1,10,16,45.5,47.1,12,13,54.5,47.1,343,175,0.3,0.1,285,163,83.1,13.8,58,46,16.9,13.8,46,54,0.0,0.1,46,54,100.0,42.0,0,27,0.0,42.0,242,118,0.2,0.1,216,115,89.3,10.1,26,22,10.7,10.1,55,44,0.0,0.1,23,19,41.8,37.4,32,40,58.2,37.4,102881,240,(X),(X),100678,318,97.9,0.3,2203,265,2.1,0.3,96469,443,93.8,0.4,(X),(X),(X),(X),(X),(X),(X),(X),6412,417,6.2,0.4,4209,367,65.6,3.6,2203,265,34.4,3.6,4212,297,4.1,0.3,2515,256,59.7,4.5,1697,224,40.3,4.5,2200,289,2.1,0.3,1694,254,77.0,4.5,506,110,23.0,4.5
0500000US36015,36015,"Chemung County, New York",82573,44,(X),(X),81892,231,99.2,0.3,681,230,0.8,0.3,79514,291,96.3,0.3,(X),(X),(X),(X),(X),(X),(X),(X),3059,287,3.7,0.3,2378,290,77.7,7.0,681,230,22.3,7.0,1225,219,1.5,0.3,935,185,76.3,8.7,290,123,23.7,8.7,191,82,0.2,0.1,146,63,76.4,14.2,45,37,23.6,14.2,971,197,1.2,0.2,739,168,76.1,10.3,232,116,23.9,10.3,63,50,0.1,0.1,50,34,79.4,19.3,13,19,20.6,19.3,1255,265,1.5,0.3,992,205,79.0,11.8,263,172,21.0,11.8,215,76,0.3,0.1,200,74,93.0,7.4,15,16,7.0,7.4,745,211,0.9,0.3,544,134,73.0,17.3,201,163,27.0,17.3,295,114,0.4,0.1,248,96,84.1,12.3,47,43,15.9,12.3,505,181,0.6,0.2,414,152,82.0,10.3,91,64,18.0,10.3,4,6,0.0,0.1,4,6,100.0,100.0,0,27,0.0,100.0,491,182,0.6,0.2,400,153,81.5,10.6,91,64,18.5,10.6,10,13,0.0,0.1,10,13,100.0,90.1,0,27,0.0,90.1,74,44,0.1,0.1,37,28,50.0,32.1,37,35,50.0,32.1,0,27,0.0,0.1,0,27,-,**,0,27,-,**,72,44,0.1,0.1,35,29,48.6,33.8,37,35,51.4,33.8,2,4,0.0,0.1,2,4,100.0,100.0,0,27,0.0,100.0,67626,181,(X),(X),67174,245,99.3,0.3,452,186,0.7,0.3,65487,287,96.8,0.4,(X),(X),(X),(X),(X),(X),(X),(X),2139,239,3.2,0.4,1687,232,78.9,8.0,452,186,21.1,8.0,966,187,1.4,0.3,737,160,76.3,10.4,229,116,23.7,10.4,1173,171,1.7,0.3,950,163,81.0,10.7,223,134,19.0,10.7
0500000US36017,36017,"Chenango County, New York",46702,33,(X),(X),46216,154,99.0,0.3,486,141,1.0,0.3,45148,256,96.7,0.5,(X),(X),(X),(X),(X),(X),(X),(X),1554,249,3.3,0.5,1068,238,68.7,8.7,486,141,31.3,8.7,665,126,1.4,0.3,429,123,64.5,11.7,236,81,35.5,11.7,210,57,0.4,0.1,140,63,66.7,21.3,70,46,33.3,21.3,386,91,0.8,0.2,240,77,62.2,11.9,146,54,37.8,11.9,69,30,0.1,0.1,49,23,71.0,19.2,20,17,29.0,19.2,719,192,1.5,0.4,553,171,76.9,10.8,166,85,23.1,10.8,117,93,0.3,0.2,113,92,96.6,5.6,4,6,3.4,5.6,425,124,0.9,0.3,338,104,79.5,11.2,87,55,20.5,11.2,177,79,0.4,0.2,102,47,57.6,26.3,75,68,42.4,26.3,124,55,0.3,0.1,48,29,38.7,24.7,76,54,61.3,24.7,4,5,0.0,0.1,4,5,100.0,100.0,0,24,0.0,100.0,100,50,0.2,0.1,36,21,36.0,25.6,64,50,64.0,25.6,20,17,0.0,0.1,8,12,40.0,52.0,12,14,60.0,52.0,46,31,0.1,0.1,38,29,82.6,25.6,8,12,17.4,25.6,0,24,0.0,0.1,0,24,-,**,0,24,-,**,46,31,0.1,0.1,38,29,82.6,25.6,8,12,17.4,25.6,0,24,0.0,0.1,0,24,-,**,0,24,-,**,38378,77,(X),(X),38118,126,99.3,0.3,260,99,0.7,0.3,37423,182,97.5,0.4,(X),(X),(X),(X),(X),(X),(X),(X),955,170,2.5,0.4,695,148,72.8,9.2,260,99,27.2,9.2,344,78,0.9,0.2,251,75,73.0,11.7,93,43,27.0,11.7,611,144,1.6,0.4,444,119,72.7,11.8,167,84,27.3,11.8
0500000US36019,36019,"Clinton County, New York",77596,25,(X),(X),76496,187,98.6,0.2,1100,183,1.4,0.2,73312,450,94.5,0.6,(X),(X),(X),(X),(X),(X),(X),(X),4284,453,5.5,0.6,3184,426,74.3,4.2,1100,183,25.7,4.2,1491,191,1.9,0.2,1083,176,72.6,5.8,408,93,27.4,5.8,142,63,0.2,0.1,135,63,95.1,7.0,7,9,4.9,7.0,1285,168,1.7,0.2,907,158,70.6,6.5,378,89,29.4,6.5,64,42,0.1,0.1,41,37,64.1,28.8,23,20,35.9,28.8,1819,369,2.3,0.5,1525,355,83.8,4.7,294,81,16.2,4.7,196,148,0.3,0.2,190,147,96.9,6.7,6,10,3.1,6.7,1212,237,1.6,0.3,998,226,82.3,6.0,214,73,17.7,6.0,411,107,0.5,0.1,337,102,82.0,9.0,74,38,18.0,9.0,722,151,0.9,0.2,370,107,51.2,12.5,352,125,48.8,12.5,25,31,0.0,0.1,13,21,52.0,52.0,12,22,48.0,52.0,593,129,0.8,0.2,256,87,43.2,14.0,337,122,56.8,14.0,104,38,0.1,0.1,101,39,97.1,5.3,3,6,2.9,5.3,252,118,0.3,0.2,206,108,81.7,14.7,46,40,18.3,14.7,23,41,0.0,0.1,1,3,4.3,23.4,22,41,95.7,23.4,204,105,0.3,0.1,180,106,88.2,12.6,24,22,11.8,12.6,25,23,0.0,0.1,25,23,100.0,57.0,0,27,0.0,57.0,64912,255,(X),(X),64473,265,99.3,0.1,439,97,0.7,0.1,62164,395,95.8,0.5,(X),(X),(X),(X),(X),(X),(X),(X),2748,323,4.2,0.5,2309,315,84.0,3.6,439,97,16.0,3.6,1066,164,1.6,0.3,879,165,82.5,5.7,187,58,17.5,5.7,1682,282,2.6,0.4,1430,269,85.0,4.7,252,81,15.0,4.7
