screen_name,description,latest_followers_count,office,party,tweet_created_at,tweet_text,favorites_count,retweet_count
RepGallagher,"Green Bay Native, Marine Veteran, and Eisenhower Nerd proudly representing #WI08 in Congress. #GoPackGo.",1699,congressperson,republican,2017-01-20T16:04:40Z,Off to the #Inauguration of our 45th President. https://t.co/L5jrW62Znq,11,0
RepTrey,Proudly serving my fellow Hoosiers of Indiana's 9th District. Member of the House Financial Services Committee.,1498,congressperson,republican,2017-01-20T17:09:24Z,"It was a pleasure to welcome Hoosiers from across #IN09 to THEIR office in Washington, D.C. for this momentous occa... https://t.co/yv9zYk4Jqk",0,0
MarioDB,"I am proud to represent Florida's 25th Congressional District and serve on @HouseAppropsGOP as Transportation, Housing + Urban Development Subcommittee Chair",27167,congressperson,republican,2017-01-20T16:05:33Z,The Capitol is all dressed up for this momentous day in history. Honored to witness this. #inauguration2017 https://t.co/Ki57GIMRDW,21,5
RepEsty,"Mom, community advocate, and U.S. Representative for Connecticut's 5th Congressional District. This is the official account for my Congressional office.",15020,congressperson,democrat,2017-01-20T20:21:22Z,2/ My mission is to find solutions to the problems facing the people of CT-5. I believe in that mission &amp; I'm more committed to it than ever,13,0
repjimcooper,Official feed of U.S. Rep. Jim Cooper. Blue Dog Democrat representing Nashville area in Congress. Married with 3 great kids. Tweets by Jim & staff.,14722,congressperson,democrat,2017-01-20T18:54:39Z,President Trump gave a speech more like a campaign rally than an inaugural. I hope he'll stop tweeting about minor issues &amp; start governing.,126,23
jasoninthehouse,"United States Congressman (UT-3). Chairman, Oversight & Government Reform. Tweets come from me, not my staff.",249834,congressperson,republican,2017-01-20T13:59:20Z,What an honor to have the Mormon Tabernacle Choir at the presidential inauguration. https://t.co/iOQ0uUPWOB,838,108
RepDLamborn,"Republican Congressman for Colorado's 5th Congressional District. For regular email updates, sign-up at https://t.co/aVNY6LkLMd",10125,congressperson,republican,2017-01-20T17:59:46Z,"As the @POTUS said, it is time to make America strong, wealthy, proud, safe, and great again! #Inauguration https://t.co/AnHcrPkvvU",8,6
SenatorBurr,"U.S. Senator from North Carolina, Chairman of the Senate Select Committee on Intelligence",56998,senator,republican,2017-01-20T23:53:00Z,My statement on the delay of a vote on Pompeo to lead CIA https://t.co/m8AmSF7tcp,69,42
RepMaloney,"New York's 12th Congressional District - Manhattan, Brooklyn & Queens",19581,congressperson,democrat,2017-01-20T18:40:49Z,RT @NancyPelosi: Our values are what unite us. That has always been true -- and it always will be. #ProtectOurCare https://t.co/pUI1Lr7acn,0,629
GinaRaimondo,Governor of Rhode Island dedicated to moving Rhode Island forward. Smithfield native and proud mother of two. (401) 222-2080,39429,govenor,democrat,2017-01-20T15:52:19Z,Thank you President Obama and Michelle for your eight years of service to our nation. Your family has inspired hope across our nation.,202,53
ChuckGrassley,"U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. Also follow @GrassleyPress for news and information.",121751,senator,republican,2017-01-20T18:11:58Z,Barb Grassley w kellyanne  a person who helped trump become Pres https://t.co/UPfGF7eUdB,18,7
RepEspaillat,U. S. Representative proudly serving New York’s 13th Congressional District. Follow my work in Washington and #NY13,3808,congressperson,democrat,2017-01-20T15:18:11Z,Thanks @ClassicDCoy! Hope to see you today @ShabazzCenter for my #StrongerTogether #UnitedAsOne community event!,2,0
BobbyJindal,"Husband, Dad and 55th Governor of the great state of Louisiana.",253005,govenor,republican,2017-01-20T20:23:53Z,Congratulations to President @realDonaldTrump. Supriya and I are praying for you as you lead our nation.,678,107
RepLouBarletta,Proudly representing Pennsylvania's 11th Congressional District.,15134,congressperson,republican,2017-01-20T18:25:38Z,Peaceful transfer of power to the 45th President of the United States. My reaction and statement: https://t.co/ZWR7ikDzs1,19,6
RepBera,"Ami Bera M.D., representing Sacramento County, California #CA7 in the U.S. House of Representatives.",17992,congressperson,democrat,2017-01-20T20:44:01Z,Wearing Planned Parenthood Pink today to #standwithplannedparenthood #protectourcare. See you at the march tomorrow https://t.co/W9gTntFSaW,84,13
SenBobCorker,Official news and updates from United States Senator Bob Corker (R-Tennessee) and his staff.,87170,senator,republican,2017-01-20T18:23:16Z,It was an honor to attend the #Inauguration today. Congratulations to @realDonaldTrump and @mike_pence. Look forwar... https://t.co/okyCIzP7Vt,261,34
RepGosar,Rep. for Arizona's 4th Congressional District. Chairman of @westerncaucus & Subcommittee on Energy & Minerals @NatResources. Dentist impersonating a politician.,22902,congressperson,republican,2017-01-20T15:34:26Z,RT @realDonaldTrump: It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,0,72036
KamalaHarris,"Senator for California. Former CA Attorney General. Dedicated to fighting for justice & giving voice to the voiceless. Wife, s-mom, sister, aunt. Aspiring chef.",358512,senator,democrat,2017-01-20T23:56:00Z,"We were founded on ideals that say that there will be freedom of religion, freedom of association &amp; that we will respect the dignity of all.",1039,285
SenTomCotton,U.S. Senator proudly serving the state of Arkansas.,64590,senator,republican,2017-01-20T12:39:50Z,Talking #InaugurationDay with @hughhewitt and Larry Arnn. Tune in! https://t.co/pDfjwOgXum,29,6
RepChrisCollins,Proud to represent New York’s 27th Congressional District. Focused on less spending in Washington and more jobs in America. Member of @HouseCommerce,10874,congressperson,republican,2017-01-20T19:02:24Z,.@POTUS @realDonaldTrump laid out his plans to put #AmericaFirst today. I look forward to getting to work and helpi... https://t.co/dyun1ikpub,46,12
SenatorBurr,"U.S. Senator from North Carolina, Chairman of the Senate Select Committee on Intelligence",56998,senator,republican,2017-01-20T23:16:12Z,Senate confirms Gen. Kelly to be Secretary of Homeland Security. Critical member of the national security team.,330,45
