item_date_published,date,item_title,item_description,item_link
2018-11-05T10:50:30Z,2018-11-05,"White, Evangelical and Worried About Trump","<p>Two of the key groups that helped elect Donald J. Trump in 2016 were white women and evangelicals. Now, in the midterm elections, white women are turning away from the president and his party, while evangelicals are sticking with him. We look at what happens when you’re both. Guests: Annie Brown, a producer for “The Daily,” speaks with Tess Clarke, who tells us how evangelical Christianity informs her vote, and with Elizabeth Dias, who covers faith and politics for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-11-02T09:55:24Z,2018-11-02,The Problem With Polls,"<p>Two years ago, news organizations including The New York Times were accused of having misled the country with voting projections. Here’s what we’re doing differently this time. Guest: Nate Cohn, who covers elections, polling and demographics for The Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-11-01T09:51:18Z,2018-11-01,“I Am Not an Internet Troll”,"<p>A Russian news organization with ties to the 2016 election interference operation started a website called USAReally. Its stated purpose was for Americans to get uncensored news about their own country — from Russia. We spoke to the man behind it. Guest Host: Kevin Roose, who writes about technology for The New York Times, talks to Alexander Malkevich, the founder of USAReally, and David E. Sanger, a national security correspondent for The Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-31T09:54:13Z,2018-10-31,The Business of Internet Outrage,"<p>At the height of its reach, the right-wing website Mad World News was getting millions of views. We talked to its founders about how they hit upon the formula that made it so successful — and why it suddenly stopped working. Guest Host: Kevin Roose, who writes about technology for The New York Times, reported this story for “The Daily.” For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-30T09:54:00Z,2018-10-30,The Re-emergence of American Anti-Semitism,"<p>Until recently, many American Jews believed that anti-Semitism was a European problem, one the United States had left behind. But the attack in Pittsburgh did not come out of nowhere. Guest: Jonathan Weisman, the deputy Washington editor of The New York Times and author of “<a href=""https://us.macmillan.com/books/9781250169938"" target=""_blank"">(((Semitism))): Being Jewish in America in the Age of Trump</a>.” For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-29T09:50:02Z,2018-10-29,A Shooting at the Tree of Life Synagogue,"<p>The massacre in Pittsburgh was one of the worst attacks against the Jewish community in the United States in decades. The city’s mayor called it “the darkest day of Pittsburgh’s history.” Guests: Kevin Roose, who writes about technology for The New York Times, and Campbell Robertson, a national correspondent for The Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-26T09:59:08Z,2018-10-26,The Voters Both Parties Are Ignoring,"<p>Nearly 30 million Latinos in the United States are eligible to vote, representing almost 13 percent of the American electorate. Why is so little attention being paid to them in the midterm elections? Guest: Jose A. Del Real, a national correspondent for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-25T09:53:00Z,2018-10-25,How 1994 Gave Us Today’s Politics,"<p>To understand the divisions that define this year’s midterm elections, you have to go back to the midterm elections of 1994. We look at the moment when exploiting differences of opinion became a winning political strategy. Guests: Jennifer Senior, an Opinion columnist for The New York Times, speaks to Vin Weber, a former Republican congressman from Minnesota. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-24T09:54:28Z,2018-10-24,The Migrant Caravan and the Midterms,"<p>Thousands of Central American migrants are moving north through Mexico, heading for the U.S. border. Republicans won’t stop talking about it, and Democrats are trying not to. Guest: Annie Correal, a New York Times reporter who spoke to us from Huixtla, Mexico. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-23T09:48:58Z,2018-10-23,Why Trump Can’t Quit Mohammed bin Salman,"<p>From the moment he was named the country’s day-to-day leader, the crown prince of Saudi Arabia has disappointed the United States over and over again. Yet the Trump White House hasn’t let go of him. Guest: Mark Landler, who covers the White House for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-22T09:50:23Z,2018-10-22,Who’s Allowed to Vote in Georgia?,"<p>One candidate made a name for herself trying to register voters. Another rose to prominence trying to purge them from the rolls. We look at how one of the most closely watched governor’s races in the country became a battle over whose vote counts. Guest: Astead W. Herndon, who covers national politics for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-19T09:54:14Z,2018-10-19,A New Climate Tipping Point,"<p>Last week, a long-awaited report showed that the worst consequences of global warming would occur even sooner than previously thought. Here’s the story behind the findings. Guests: Coral Davenport, who covers energy and the environment for The New York Times, and William D. Nordhaus, who was awarded a Nobel this year for his work on the economics of climate change. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-18T10:02:34Z,2018-10-18,Letting Louis C.K. Back Onstage,"<p>Nine months after admitting to sexual misconduct with multiple women, Louis C.K. dropped into a New York City comedy club unannounced and tried to make a comeback. And then he returned, again and again. We talk to the club owner who gave him that stage. Guest: Noam Dworman, the owner of the Comedy Cellar. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-17T09:53:00Z,2018-10-17,"The Battle for Missouri, Part 2: The Moderate","<p>When Democrats lost almost every race in Missouri in 2016, their party decided it needed to do something drastic. But the path they chose may have created an entirely new problem. Guest: Sabrina Tavernise, a national correspondent who reported this story for The New York Times and “The Daily.” For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-16T09:49:55Z,2018-10-16,"The Battle for Missouri, Part 1: The Anti-Abortion Democrat","<p>Weeks before the midterm elections, moderate and progressive Democrats in Missouri are grappling with what the party stands for and who gets to define it. What happens will determine the fate of one of the most endangered Democratic senators in the country. Guest Host: Sabrina Tavernise, a national correspondent who reported this story for The New York Times and “The Daily.” For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-15T09:48:20Z,2018-10-15,The State of the Midterms (and the Country),"<p>As the Democrats fight to reclaim control of Congress, the House seems to be headed in one direction, the Senate in the other. With three weeks to go until Election Day, we look at the state of the 2018 midterms. Guest: Alexander Burns, who covers national politics for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-12T09:54:48Z,2018-10-12,The Police Shooting That Rocked Chicago,"<p>On the night of Oct. 20, 2014, a white police officer shot a black teenager 16 times. It took nearly four years for the case to make it to trial. It took less than eight hours for the jury to reach a verdict. Guest: Monica Davey, the Chicago bureau chief of The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-11T09:49:50Z,2018-10-11,The Disappearance of a Saudi Journalist,"<p>Saudi Arabia’s crown prince has promoted himself to the West as a reformer determined to create a more free and open society. That image is unraveling as a prominent Saudi journalist and dissident remains missing. Guest: Carlotta Gall, the Istanbul bureau chief of The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-10T09:53:31Z,2018-10-10,Who Is Believed and Who Is Blamed?,"<p>Across the country, the confirmation of Justice Brett M. Kavanaugh has set off a highly personal debate among women about credibility and culpability. We sit in on two of those conversations. Guests: A group of teenagers in Brooklyn, who shared with us their reactions to the accusations against Justice Kavanaugh; and the reporters Susan Chira and Ellen Ann Fentress, who spoke to Lovetta Green and Crystal Walls, two friends in Mississippi with very different political views. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-09T09:51:17Z,2018-10-09,The Dilemma for Red-State Democrats,"<p>Democratic senators in states that President Trump won had concluded that their best path to re-election was to campaign on local issues. Then came the confirmation fight over Justice Brett M. Kavanaugh. Guest: Jonathan Martin, who covers national politics for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-08T09:51:59Z,2018-10-08,A Supreme Court With Justice Kavanaugh,"<p>Judge Kavanaugh is now Justice Kavanaugh. We look at what the last few weeks mean for the future of the Supreme Court. Guest: Adam Liptak, who covers the Supreme Court for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-05T09:51:44Z,2018-10-05,What the F.B.I. Found (and Didn’t Find),"<p>The agency has delivered its report on Judge Brett M. Kavanaugh to the Senate. Republicans say it reveals nothing new — but Democrats say it was specifically designed to reveal nothing new. Guest: Sheryl Gay Stolberg, who covers Congress for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-04T09:52:14Z,2018-10-04,The F.B.I.’s Kavanaugh Investigation,"<p>As the F.B.I. shares the results of its investigation into Judge Brett M. Kavanaugh with the Senate, we look at what the scope of the inquiry may mean for his confirmation vote — and why Republicans are changing the way they talk about his accuser. Guests: Michael D. Shear and Peter Baker, who both cover the White House for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-03T09:59:26Z,2018-10-03,How Trump Really Got Rich,"<p>President Trump has long sold himself as a self-made billionaire. But after spending a year studying tens of thousands of pages of confidential records, our New York Times colleagues uncovered new details about the president’s financial history. Here’s what they found.</p>",NA
2018-10-02T09:52:16Z,2018-10-02,Kavanaugh’s Classmates Speak Out,"<p>The F.B.I. investigation into Judge Brett Kavanaugh is underway. More of his former classmates are now coming forward with personal stories — but it’s unclear whether the inquiry will take those stories into account. Guests: Kate Kelly, a New York Times reporter who attended an all-girls private high school in Washington, and Robin Pogrebin, a Times reporter who was Judge Kavanaugh’s classmate at Yale. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-10-01T09:54:20Z,2018-10-01,The Anguish of Jeff Flake,"<p>Senator Jeff Flake’s last-minute demand for an F.B.I. investigation into Judge Brett M. Kavanaugh has single-handedly held up the confirmation vote for the Supreme Court nominee. Here’s the story behind that decision. Guest: Michael D. Shear, who covers the White House for The New York Times, and Ana Maria Archila, one of the protesters who spoke to Mr. Flake on his way to the Senate Judiciary Committee meeting on Friday. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2018-09-28T10:15:19Z,2018-09-28,The Blasey-Kavanaugh Hearing,"<p>She gave a raw, reluctant account of sexual assault. He gave an angry, outraged denial. And once again, the United States Senate must take a side. Guest: Kate Zernike, who covers politics for The New York Times. For more information on today’s episode, visit <a href=""https://www.nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
